DATE,SERIES,VALUE
31 Oct 2017,IUMZICR,1.66
30 Nov 2017,IUMZICR,1.68
31 Dec 2017,IUMZICR,1.69
31 Jan 2018,IUMZICR,1.64
28 Feb 2018,IUMZICR,1.71
31 Mar 2018,IUMZICR,1.76
30 Apr 2018,IUMZICR,1.85
31 May 2018,IUMZICR,2.06
30 Jun 2018,IUMZICR,2.08
31 Jul 2018,IUMZICR,1.99
31 Aug 2018,IUMZICR,1.97
30 Sep 2018,IUMZICR,1.93
31 Oct 2018,IUMZICR,1.93
30 Nov 2018,IUMZICR,1.88
31 Dec 2018,IUMZICR,1.84
31 Jan 2019,IUMZICR,1.86
28 Feb 2019,IUMZICR,1.85
31 Mar 2019,IUMZICR,1.85
30 Apr 2019,IUMZICR,1.83
31 May 2019,IUMZICR,1.81
30 Jun 2019,IUMZICR,1.8
31 Jul 2019,IUMZICR,1.8
31 Aug 2019,IUMZICR,1.79
30 Sep 2019,IUMZICR,1.76
31 Oct 2019,IUMZICR,1.73
30 Nov 2019,IUMZICR,1.71
31 Dec 2019,IUMZICR,1.7
31 Jan 2020,IUMZICR,1.69
29 Feb 2020,IUMZICR,1.69
31 Mar 2020,IUMZICR,1.69
30 Apr 2020,IUMZICR,1.64
31 May 2020,IUMZICR,1.76
30 Jun 2020,IUMZICR,1.84
31 Jul 2020,IUMZICR,2.01
31 Aug 2020,IUMZICR,2.27
30 Sep 2020,IUMZICR,2.55
31 Oct 2020,IUMZICR,3
30 Nov 2020,IUMZICR,3.06
31 Dec 2020,IUMZICR,3.02
31 Jan 2021,IUMZICR,2.91
28 Feb 2021,IUMZICR,2.73
31 Mar 2021,IUMZICR,2.65
30 Apr 2021,IUMZICR,2.56
31 May 2021,IUMZICR,2.51
30 Jun 2021,IUMZICR,2.37
31 Jul 2021,IUMZICR,2.16
31 Aug 2021,IUMZICR,1.99
30 Sep 2021,IUMZICR,1.8
31 Oct 2021,IUMZICR,1.68
30 Nov 2021,IUMZICR,1.74
31 Dec 2021,IUMZICR,1.71
31 Jan 2022,IUMZICR,1.74
28 Feb 2022,IUMZICR,1.87
31 Mar 2022,IUMZICR,2.22
30 Apr 2022,IUMZICR,2.46
31 May 2022,IUMZICR,2.72
30 Jun 2022,IUMZICR,2.95
31 Jul 2022,IUMZICR,3.48
31 Aug 2022,IUMZICR,3.69
30 Sep 2022,IUMZICR,4.37
31 Oct 2022,IUMZICR,6.17
30 Nov 2022,IUMZICR,6.11
31 Dec 2022,IUMZICR,5.57
31 Jan 2023,IUMZICR,5.26
28 Feb 2023,IUMZICR,5.03
31 Mar 2023,IUMZICR,4.98
30 Apr 2023,IUMZICR,4.88
31 May 2023,IUMZICR,4.92
30 Jun 2023,IUMZICR,5.59
31 Jul 2023,IUMZICR,6.35
31 Aug 2023,IUMZICR,6.35
30 Sep 2023,IUMZICR,6.14
31 Oct 2023,IUMZICR,5.94
30 Nov 2023,IUMZICR,5.65
31 Dec 2023,IUMZICR,5.38
31 Jan 2024,IUMZICR,5.04
29 Feb 2024,IUMZICR,4.99
31 Mar 2024,IUMZICR,5.16
30 Apr 2024,IUMZICR,5.16
31 May 2024,IUMZICR,5.32
30 Jun 2024,IUMZICR,5.3
31 Jul 2024,IUMZICR,5.21
31 Aug 2024,IUMZICR,5.07
30 Sep 2024,IUMZICR,4.86
31 Oct 2024,IUMZICR,4.75
30 Nov 2024,IUMZICR,4.87
31 Dec 2024,IUMZICR,4.88
31 Jan 2025,IUMZICR,4.93
28 Feb 2025,IUMZICR,4.87
31 Mar 2025,IUMZICR,4.74
30 Sep 2017,IUMB482,2.31
31 Oct 2017,IUMB482,2.36
30 Nov 2017,IUMB482,2.36
31 Dec 2017,IUMB482,2.21
31 Jan 2018,IUMB482,2.17
28 Feb 2018,IUMB482,2.21
31 Mar 2018,IUMB482,2.2
30 Apr 2018,IUMB482,2.36
31 May 2018,IUMB482,2.34
30 Jun 2018,IUMB482,2.37
31 Jul 2018,IUMB482,2.3
31 Aug 2018,IUMB482,2.28
30 Sep 2018,IUMB482,2.12
31 Oct 2018,IUMB482,2.27
30 Nov 2018,IUMB482,2.28
31 Dec 2018,IUMB482,2.24
31 Jan 2019,IUMB482,2.23
28 Feb 2019,IUMB482,2.17
31 Mar 2019,IUMB482,2.17
30 Apr 2019,IUMB482,2.15
31 May 2019,IUMB482,2.19
30 Jun 2019,IUMB482,2.18
31 Jul 2019,IUMB482,2.15
31 Aug 2019,IUMB482,2.1
30 Sep 2019,IUMB482,2.09
31 Oct 2019,IUMB482,2.07
30 Nov 2019,IUMB482,2.08
31 Dec 2019,IUMB482,2.07
31 Jan 2020,IUMB482,2.05
29 Feb 2020,IUMB482,1.97
31 Mar 2020,IUMB482,1.94
30 Apr 2020,IUMB482,1.89
31 May 2020,IUMB482,1.96
30 Jun 2020,IUMB482,2.19
31 Jul 2020,IUMB482,2.5
31 Aug 2020,IUMB482,2.78
30 Sep 2020,IUMB482,3.29
31 Oct 2020,IUMB482,3.52
30 Nov 2020,IUMB482,3.72
31 Dec 2020,IUMB482,3.75
31 Jan 2021,IUMB482,3.63
28 Feb 2021,IUMB482,3.49
31 Mar 2021,IUMB482,3.38
30 Apr 2021,IUMB482,3.38
31 May 2021,IUMB482,3.31
30 Jun 2021,IUMB482,3.09
31 Jul 2021,IUMB482,2.79
31 Aug 2021,IUMB482,2.48
30 Sep 2021,IUMB482,2.16
31 Oct 2021,IUMB482,2.04
30 Nov 2021,IUMB482,2.02
31 Dec 2021,IUMB482,1.95
31 Jan 2022,IUMB482,1.95
28 Feb 2022,IUMB482,2.03
31 Mar 2022,IUMB482,2.38
30 Apr 2022,IUMB482,2.58
31 May 2022,IUMB482,2.85
30 Jun 2022,IUMB482,3.15
31 Jul 2022,IUMB482,3.69
31 Aug 2022,IUMB482,3.93
30 Sep 2022,IUMB482,4.48
31 Oct 2022,IUMB482,6.2
30 Nov 2022,IUMB482,6.28
31 Dec 2022,IUMB482,6
31 Jan 2023,IUMB482,5.66
28 Feb 2023,IUMB482,5.35
31 Mar 2023,IUMB482,5.23
30 Apr 2023,IUMB482,5.07
31 May 2023,IUMB482,5.08
30 Jun 2023,IUMB482,5.75
31 Jul 2023,IUMB482,6.49
31 Aug 2023,IUMB482,6.57
30 Sep 2023,IUMB482,6.37
31 Oct 2023,IUMB482,6.06
30 Nov 2023,IUMB482,5.81
31 Dec 2023,IUMB482,5.69
31 Jan 2024,IUMB482,5.44
29 Feb 2024,IUMB482,5.26
31 Mar 2024,IUMB482,5.39
30 Apr 2024,IUMB482,5.47
31 May 2024,IUMB482,5.66
30 Jun 2024,IUMB482,5.65
31 Jul 2024,IUMB482,5.61
31 Aug 2024,IUMB482,5.54
30 Sep 2024,IUMB482,5.4
31 Oct 2024,IUMB482,5.3
30 Nov 2024,IUMB482,5.41
31 Dec 2024,IUMB482,5.37
31 Jan 2025,IUMB482,5.36
28 Feb 2025,IUMB482,5.26
31 Mar 2025,IUMB482,5.11
30 Sep 2017,IUM2WTL,4.01
31 Oct 2017,IUM2WTL,4.02
30 Nov 2017,IUM2WTL,3.97
31 Dec 2017,IUM2WTL,3.89
31 Jan 2018,IUM2WTL,3.82
28 Feb 2018,IUM2WTL,3.82
31 Mar 2018,IUM2WTL,3.77
30 Apr 2018,IUM2WTL,3.9
31 May 2018,IUM2WTL,3.95
30 Jun 2018,IUM2WTL,3.95
31 Jul 2018,IUM2WTL,3.78
31 Aug 2018,IUM2WTL,3.61
30 Sep 2018,IUM2WTL,3.38
31 Oct 2018,IUM2WTL,3.33
30 Nov 2018,IUM2WTL,3.23
31 Dec 2018,IUM2WTL,3.18
31 Jan 2019,IUM2WTL,3.04
28 Feb 2019,IUM2WTL,2.99
31 Mar 2019,IUM2WTL,2.97
30 Apr 2019,IUM2WTL,2.92
31 May 2019,IUM2WTL,2.93
30 Jun 2019,IUM2WTL,2.95
31 Jul 2019,IUM2WTL,2.96
31 Aug 2019,IUM2WTL,2.96
30 Sep 2019,IUM2WTL,2.99
31 Oct 2019,IUM2WTL,2.99
30 Nov 2019,IUM2WTL,2.99
31 Dec 2019,IUM2WTL,3
31 Jan 2020,IUM2WTL,3.02
29 Feb 2020,IUM2WTL,3.02
31 Mar 2020,IUM2WTL,3.02
30 Apr 2020,IUM2WTL,3.07
31 May 2020,IUM2WTL,3.17
30 Jun 2020,IUM2WTL,2.72
31 Jul 2020,IUM2WTL,2.58
31 Aug 2020,IUM2WTL,3.78
30 Sep 2020,IUM2WTL,3.95
31 Oct 2020,IUM2WTL,4.13
30 Nov 2020,IUM2WTL,4.2
31 Dec 2020,IUM2WTL,4.2
31 Jan 2021,IUM2WTL,4.16
28 Feb 2021,IUM2WTL,4.1
31 Mar 2021,IUM2WTL,4.16
30 Apr 2021,IUM2WTL,4.01
31 May 2021,IUM2WTL,3.88
30 Jun 2021,IUM2WTL,3.74
31 Jul 2021,IUM2WTL,3.53
31 Aug 2021,IUM2WTL,3.43
30 Sep 2021,IUM2WTL,3.22
31 Oct 2021,IUM2WTL,2.98
30 Nov 2021,IUM2WTL,2.91
31 Dec 2021,IUM2WTL,2.77
31 Jan 2022,IUM2WTL,2.73
28 Feb 2022,IUM2WTL,2.72
31 Mar 2022,IUM2WTL,2.8
30 Apr 2022,IUM2WTL,2.95
31 May 2022,IUM2WTL,3.2
30 Jun 2022,IUM2WTL,3.48
31 Jul 2022,IUM2WTL,3.96
31 Aug 2022,IUM2WTL,4.14
30 Sep 2022,IUM2WTL,4.67
31 Oct 2022,IUM2WTL,6.42
30 Nov 2022,IUM2WTL,6.59
31 Dec 2022,IUM2WTL,6.3
31 Jan 2023,IUM2WTL,6.02
28 Feb 2023,IUM2WTL,5.86
31 Mar 2023,IUM2WTL,5.77
30 Apr 2023,IUM2WTL,5.65
31 May 2023,IUM2WTL,5.67
30 Jun 2023,IUM2WTL,6.28
31 Jul 2023,IUM2WTL,6.88
31 Aug 2023,IUM2WTL,6.93
30 Sep 2023,IUM2WTL,6.75
31 Oct 2023,IUM2WTL,6.6
30 Nov 2023,IUM2WTL,6.38
31 Dec 2023,IUM2WTL,6.18
31 Jan 2024,IUM2WTL,5.87
29 Feb 2024,IUM2WTL,5.73
31 Mar 2024,IUM2WTL,5.83
30 Apr 2024,IUM2WTL,5.87
31 May 2024,IUM2WTL,6.04
30 Jun 2024,IUM2WTL,6.07
31 Jul 2024,IUM2WTL,5.97
31 Aug 2024,IUM2WTL,5.9
30 Sep 2024,IUM2WTL,5.76
31 Oct 2024,IUM2WTL,5.61
30 Nov 2024,IUM2WTL,5.69
31 Dec 2024,IUM2WTL,5.7
31 Jan 2025,IUM2WTL,5.69
28 Feb 2025,IUM2WTL,5.64
31 Mar 2025,IUM2WTL,5.44
30 Sep 2017,IUM5WTL,4.68
31 Oct 2017,IUM5WTL,4.71
30 Nov 2017,IUM5WTL,4.58
31 Dec 2017,IUM5WTL,4.54
31 Jan 2018,IUM5WTL,4.49
28 Feb 2018,IUM5WTL,4.5
31 Mar 2018,IUM5WTL,4.44
30 Apr 2018,IUM5WTL,4.37
31 May 2018,IUM5WTL,4.43
30 Jun 2018,IUM5WTL,4.39
31 Jul 2018,IUM5WTL,4.29
31 Aug 2018,IUM5WTL,4.15
30 Sep 2018,IUM5WTL,3.94
31 Oct 2018,IUM5WTL,3.88
30 Nov 2018,IUM5WTL,3.81
31 Dec 2018,IUM5WTL,3.72
31 Jan 2019,IUM5WTL,3.64
28 Feb 2019,IUM5WTL,3.6
31 Mar 2019,IUM5WTL,3.57
30 Apr 2019,IUM5WTL,3.46
31 May 2019,IUM5WTL,3.46
30 Jun 2019,IUM5WTL,3.44
31 Jul 2019,IUM5WTL,3.39
31 Aug 2019,IUM5WTL,3.39
30 Sep 2019,IUM5WTL,3.37
31 Oct 2019,IUM5WTL,3.38
30 Nov 2019,IUM5WTL,3.37
31 Dec 2019,IUM5WTL,3.37
31 Jan 2020,IUM5WTL,3.34
29 Feb 2020,IUM5WTL,3.28
31 Mar 2020,IUM5WTL,3.29
30 Apr 2020,IUM5WTL,3.39
31 May 2020,IUM5WTL,3.49
30 Jun 2020,IUM5WTL,3.77
31 Jul 2020,IUM5WTL,4.04
31 Aug 2020,IUM5WTL,4.07
30 Sep 2020,IUM5WTL,4.23
31 Oct 2020,IUM5WTL,4.21
30 Nov 2020,IUM5WTL,4.37
31 Dec 2020,IUM5WTL,4.37
31 Jan 2021,IUM5WTL,4.41
28 Feb 2021,IUM5WTL,4.41
31 Mar 2021,IUM5WTL,4.3
30 Apr 2021,IUM5WTL,4.11
31 May 2021,IUM5WTL,4.02
30 Jun 2021,IUM5WTL,3.91
31 Jul 2021,IUM5WTL,3.77
31 Aug 2021,IUM5WTL,3.63
30 Sep 2021,IUM5WTL,3.46
31 Oct 2021,IUM5WTL,3.28
30 Nov 2021,IUM5WTL,3.2
31 Dec 2021,IUM5WTL,3.11
31 Jan 2022,IUM5WTL,3.07
28 Feb 2022,IUM5WTL,3.05
31 Mar 2022,IUM5WTL,3.08
30 Apr 2022,IUM5WTL,3.11
31 May 2022,IUM5WTL,3.26
30 Jun 2022,IUM5WTL,3.51
31 Jul 2022,IUM5WTL,4
31 Aug 2022,IUM5WTL,4.17
30 Sep 2022,IUM5WTL,4.54
31 Oct 2022,IUM5WTL,6.12
30 Nov 2022,IUM5WTL,6.2
31 Dec 2022,IUM5WTL,5.87
31 Jan 2023,IUM5WTL,5.56
28 Feb 2023,IUM5WTL,5.31
31 Mar 2023,IUM5WTL,5.19
30 Apr 2023,IUM5WTL,5.08
31 May 2023,IUM5WTL,5.15
30 Jun 2023,IUM5WTL,5.7
31 Jul 2023,IUM5WTL,6.26
31 Aug 2023,IUM5WTL,6.27
30 Sep 2023,IUM5WTL,6.01
31 Oct 2023,IUM5WTL,5.87
30 Nov 2023,IUM5WTL,5.71
31 Dec 2023,IUM5WTL,5.52
31 Jan 2024,IUM5WTL,5.24
29 Feb 2024,IUM5WTL,5.16
31 Mar 2024,IUM5WTL,5.3
30 Apr 2024,IUM5WTL,5.34
31 May 2024,IUM5WTL,5.48
30 Jun 2024,IUM5WTL,5.47
31 Jul 2024,IUM5WTL,5.43
31 Aug 2024,IUM5WTL,5.33
30 Sep 2024,IUM5WTL,5.23
31 Oct 2024,IUM5WTL,5.14
30 Nov 2024,IUM5WTL,5.24
31 Dec 2024,IUM5WTL,5.24
31 Jan 2025,IUM5WTL,5.27
28 Feb 2025,IUM5WTL,5.27
31 Mar 2025,IUM5WTL,5.13
28 Feb 2019,IUMZO28,2.56
31 Mar 2019,IUMZO28,2.56
30 Apr 2019,IUMZO28,2.54
31 May 2019,IUMZO28,2.54
30 Jun 2019,IUMZO28,2.53
31 Jul 2019,IUMZO28,2.54
31 Aug 2019,IUMZO28,2.5
30 Sep 2019,IUMZO28,2.5
31 Oct 2019,IUMZO28,2.49
30 Nov 2019,IUMZO28,2.5
31 Dec 2019,IUMZO28,2.49
31 Jan 2020,IUMZO28,2.49
29 Feb 2020,IUMZO28,2.49
31 Mar 2020,IUMZO28,2.48
30 Apr 2020,IUMZO28,2.39
31 May 2020,IUMZO28,2.33
30 Jun 2020,IUMZO28,2.5
31 Jul 2020,IUMZO28,2.86
31 Aug 2020,IUMZO28,3.02
30 Sep 2020,IUMZO28,3.95
31 Oct 2020,IUMZO28,4.16
30 Nov 2020,IUMZO28,4.07
31 Dec 2020,IUMZO28,3.8
31 Jan 2021,IUMZO28,3.65
28 Feb 2021,IUMZO28,3.51
31 Mar 2021,IUMZO28,3.45
30 Apr 2021,IUMZO28,3.45
31 May 2021,IUMZO28,3.43
30 Jun 2021,IUMZO28,3.36
31 Jul 2021,IUMZO28,3.2
31 Aug 2021,IUMZO28,2.96
30 Sep 2021,IUMZO28,2.74
31 Oct 2021,IUMZO28,2.62
30 Nov 2021,IUMZO28,2.58
31 Dec 2021,IUMZO28,2.47
31 Jan 2022,IUMZO28,2.41
28 Feb 2022,IUMZO28,2.42
31 Mar 2022,IUMZO28,2.56
30 Apr 2022,IUMZO28,2.67
31 May 2022,IUMZO28,2.86
30 Jun 2022,IUMZO28,3.18
31 Jul 2022,IUMZO28,3.66
31 Aug 2022,IUMZO28,3.8
30 Sep 2022,IUMZO28,4.16
31 Oct 2022,IUMZO28,5.8
30 Nov 2022,IUMZO28,5.84
31 Dec 2022,IUMZO28,5.41
31 Jan 2023,IUMZO28,5.06
28 Feb 2023,IUMZO28,4.73
31 Mar 2023,IUMZO28,4.66
30 Apr 2023,IUMZO28,4.57
31 May 2023,IUMZO28,4.62
30 Jun 2023,IUMZO28,5.2
31 Jul 2023,IUMZO28,5.87
31 Aug 2023,IUMZO28,5.82
30 Sep 2023,IUMZO28,5.62
31 Oct 2023,IUMZO28,5.38
30 Nov 2023,IUMZO28,5.18
31 Dec 2023,IUMZO28,5.01
31 Jan 2024,IUMZO28,4.84
29 Feb 2024,IUMZO28,4.7
31 Mar 2024,IUMZO28,4.85
30 Apr 2024,IUMZO28,4.91
31 May 2024,IUMZO28,5.07
30 Jun 2024,IUMZO28,5.07
31 Jul 2024,IUMZO28,5.01
31 Aug 2024,IUMZO28,4.88
30 Sep 2024,IUMZO28,4.73
31 Oct 2024,IUMZO28,4.69
30 Nov 2024,IUMZO28,4.8
31 Dec 2024,IUMZO28,4.8
31 Jan 2025,IUMZO28,4.82
28 Feb 2025,IUMZO28,4.82
31 Mar 2025,IUMZO28,4.72
30 Sep 2017,IUMBV42,1.9
31 Oct 2017,IUMBV42,2.04
30 Nov 2017,IUMBV42,2.04
31 Dec 2017,IUMBV42,2.07
31 Jan 2018,IUMBV42,1.98
28 Feb 2018,IUMBV42,1.99
31 Mar 2018,IUMBV42,2.02
30 Apr 2018,IUMBV42,2.01
31 May 2018,IUMBV42,2.06
30 Jun 2018,IUMBV42,2.03
31 Jul 2018,IUMBV42,2.04
31 Aug 2018,IUMBV42,2.03
30 Sep 2018,IUMBV42,2.01
31 Oct 2018,IUMBV42,2.06
30 Nov 2018,IUMBV42,2.02
31 Dec 2018,IUMBV42,2.01
31 Jan 2019,IUMBV42,2.05
28 Feb 2019,IUMBV42,2.05
31 Mar 2019,IUMBV42,2.03
30 Apr 2019,IUMBV42,2
31 May 2019,IUMBV42,1.99
30 Jun 2019,IUMBV42,1.97
31 Jul 2019,IUMBV42,1.93
31 Aug 2019,IUMBV42,1.89
30 Sep 2019,IUMBV42,1.79
31 Oct 2019,IUMBV42,1.71
30 Nov 2019,IUMBV42,1.67
31 Dec 2019,IUMBV42,1.67
31 Jan 2020,IUMBV42,1.68
29 Feb 2020,IUMBV42,1.67
31 Mar 2020,IUMBV42,1.66
30 Apr 2020,IUMBV42,1.67
31 May 2020,IUMBV42,1.7
30 Jun 2020,IUMBV42,1.69
31 Jul 2020,IUMBV42,1.7
31 Aug 2020,IUMBV42,1.79
30 Sep 2020,IUMBV42,1.92
31 Oct 2020,IUMBV42,2.05
30 Nov 2020,IUMBV42,2.05
31 Dec 2020,IUMBV42,2
31 Jan 2021,IUMBV42,1.92
28 Feb 2021,IUMBV42,1.8
31 Mar 2021,IUMBV42,1.74
30 Apr 2021,IUMBV42,1.71
31 May 2021,IUMBV42,1.68
30 Jun 2021,IUMBV42,1.6
31 Jul 2021,IUMBV42,1.45
31 Aug 2021,IUMBV42,1.39
30 Sep 2021,IUMBV42,1.28
31 Oct 2021,IUMBV42,1.3
30 Nov 2021,IUMBV42,1.52
31 Dec 2021,IUMBV42,1.59
31 Jan 2022,IUMBV42,1.63
28 Feb 2022,IUMBV42,1.79
31 Mar 2022,IUMBV42,2.11
30 Apr 2022,IUMBV42,2.35
31 May 2022,IUMBV42,2.62
30 Jun 2022,IUMBV42,2.9
31 Jul 2022,IUMBV42,3.43
31 Aug 2022,IUMBV42,3.61
30 Sep 2022,IUMBV42,3.97
31 Oct 2022,IUMBV42,5.61
30 Nov 2022,IUMBV42,5.5
31 Dec 2022,IUMBV42,5.05
31 Jan 2023,IUMBV42,4.66
28 Feb 2023,IUMBV42,4.36
31 Mar 2023,IUMBV42,4.26
30 Apr 2023,IUMBV42,4.16
31 May 2023,IUMBV42,4.28
30 Jun 2023,IUMBV42,4.95
31 Jul 2023,IUMBV42,5.71
31 Aug 2023,IUMBV42,5.53
30 Sep 2023,IUMBV42,5.24
31 Oct 2023,IUMBV42,5.02
30 Nov 2023,IUMBV42,4.89
